"Merchant ID","Merchant Name","Batch Date","Batch Reference Number","Transaction Date","Transaction Type","Transaction Card Type","Transaction Card Number","Transaction Amount"
344858307505959269,"Merchant #344858307505959269",2018-05-05,307965163216534420635657,2018-05-04,Sale,VI,803158******3281,20.94
344858307505959269,"Merchant #344858307505959269",2018-05-05,307965163216534420635657,2018-05-04,Sale,VI,922314******7463,92.73
344858307505959269,"Merchant #344858307505959269",2018-05-05,307965163216534420635657,2018-05-04,Sale,VI,742388******8047,31.29
344858307505959269,"Merchant #344858307505959269",2018-05-05,713911985564755663442139,2018-05-04,Sale,VI,821278******8615,64.98
344858307505959269,"Merchant #344858307505959269",2018-05-05,713911985564755663442139,2018-05-04,Sale,DC,909582******9260,4.04
344858307505959269,"Merchant #344858307505959269",2018-05-05,713911985564755663442139,2018-05-04,Sale,DC,308958******7061,31.97
344858307505959269,"Merchant #344858307505959269",2018-05-05,32021449192915738278018,2018-05-04,Sale,DC,774118******2006,32.85
79524081202206784,"Merchant #79524081202206784",2018-05-05,865311392860455095554114,2018-05-04,Sale,VI,437054******9193,68.26
79524081202206784,"Merchant #79524081202206784",2018-05-05,865311392860455095554114,2018-05-04,Refund,VI,877098******7670,-56.27
79524081202206784,"Merchant #79524081202206784",2018-05-05,865311392860455095554114,2018-05-04,Sale,VI,498879******3771,59.62
79524081202206784,"Merchant #79524081202206784",2018-05-05,865311392860455095554114,2018-05-04,Sale,AX,607735******0567,11.13
79524081202206784,"Merchant #79524081202206784",2018-05-05,865311392860455095554114,2018-05-04,Sale,VI,150304******4396,70.74
79524081202206784,"Merchant #79524081202206784",2018-05-05,865311392860455095554114,2018-05-04,Sale,AX,613570******2082,68.66
79524081202206784,"Merchant #79524081202206784",2018-05-05,865311392860455095554114,2018-05-04,Sale,VI,220136******0330,57.57
79524081202206784,"Merchant #79524081202206784",2018-05-05,865311392860455095554114,2018-05-04,Sale,VI,353577******0298,45.15
79524081202206784,"Merchant #79524081202206784",2018-05-05,865311392860455095554114,2018-05-04,Sale,DC,449696******5130,93.96
79524081202206784,"Merchant #79524081202206784",2018-05-05,865311392860455095554114,2018-05-04,Sale,AX,865562******6221,40.85
79524081202206784,"Merchant #79524081202206784",2018-05-05,367086559360867948892243,2018-05-04,Sale,DC,596697******4071,9.62
79524081202206784,"Merchant #79524081202206784",2018-05-05,104067513586917623765379,2018-05-04,Sale,DC,387374******3517,98.62
79524081202206784,"Merchant #79524081202206784",2018-05-05,104067513586917623765379,2018-05-04,Sale,AX,183829******2408,24.09
79524081202206784,"Merchant #79524081202206784",2018-05-05,104067513586917623765379,2018-05-04,Sale,MC,950478******6521,38.38
79524081202206784,"Merchant #79524081202206784",2018-05-05,104067513586917623765379,2018-05-04,Sale,AX,652390******5112,16.95
79524081202206784,"Merchant #79524081202206784",2018-05-05,104067513586917623765379,2018-05-04,Sale,VI,586338******0362,71.83
79524081202206784,"Merchant #79524081202206784",2018-05-05,104067513586917623765379,2018-05-04,Sale,AX,674346******7518,90.61
79524081202206784,"Merchant #79524081202206784",2018-05-05,104067513586917623765379,2018-05-04,Sale,DC,168785******2736,18.17
79524081202206784,"Merchant #79524081202206784",2018-05-05,104067513586917623765379,2018-05-04,Sale,MC,954121******8879,91.54
79524081202206784,"Merchant #79524081202206784",2018-05-05,104067513586917623765379,2018-05-04,Sale,DC,323069******0535,33.09
79524081202206784,"Merchant #79524081202206784",2018-05-05,660379978227859813933257,2018-05-04,Sale,VI,872075******7302,29.87
79524081202206784,"Merchant #79524081202206784",2018-05-05,660379978227859813933257,2018-05-04,Sale,VI,845236******4527,26.28
79524081202206784,"Merchant #79524081202206784",2018-05-05,660379978227859813933257,2018-05-04,Sale,AX,485744******9325,67.65
79524081202206784,"Merchant #79524081202206784",2018-05-05,660379978227859813933257,2018-05-04,Sale,VI,900264******5077,55.68
79524081202206784,"Merchant #79524081202206784",2018-05-05,684710905922274442756817,2018-05-04,Sale,DC,947943******4453,6.18
79524081202206784,"Merchant #79524081202206784",2018-05-05,684710905922274442756817,2018-05-04,Sale,AX,371694******0209,65.13
